symbol,bias,bias_emoji,category,score,confidence,pcr,prev_pcr,support,resistance,ce_net_contracts,pe_net_contracts,ce_net_lakhs,pe_net_lakhs,atm_ce_delta_contracts,atm_pe_delta_contracts,score_breakdown
EICHERMOT,Bearish Lean,🟧,Bearish Lean (Dual Build-Up),-8.7,75,0.71,0.73,7500.0,9000.0,82200,46600,0.82,0.47,74300,44100,"-3.8 Call/Put roughly balanced (ATM zone) | -0.6 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -6.2 Full-chain Dual Build-Up is Call-heavy (+0.82L CE vs +0.47L PE, 1.8x) | -0.3 ATM±5 zone raw flow: CE +0.74L vs PE +0.44L (institutional tilt Call-heavy)"
NAM-INDIA,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-34.4,89,0.79,0.84,1200.0,1300.0,102500,43750,1.02,0.44,80625,37500,"-23.9 Strong Call Writing (ATM zone) | -1.7 Full-chain confirmation (Call-heavy) | -2.0 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -9.4 Full-chain Dual Build-Up is Call-heavy (+1.02L CE vs +0.44L PE, 2.3x) | -0.4 ATM±5 zone raw flow: CE +0.81L vs PE +0.38L (institutional tilt Call-heavy)"
GLENMARK,Bullish,🟢,Bullish OI Bias (Dual Build-Up),120.1,91,0.68,0.54,2400.0,2400.0,106125,282750,1.06,2.83,93750,238875,"+91.0 Strong Put Writing (ATM zone) | +8.2 Full-chain confirmation (Put-heavy) | +5.6 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +10.8 Full-chain Dual Build-Up is Put-heavy (+2.83L PE vs +1.06L CE, 2.7x) | +1.5 ATM±5 zone raw flow: CE +0.94L vs PE +2.39L (institutional tilt Put-heavy)"
MAZDOCK,Bearish Lean,🟧,Bearish Lean (Fresh Call Writing),-8.9,75,0.59,0.61,2400.0,2600.0,61650,-4275,0.62,-0.04,96075,-1800,-9.2 Moderate Call Writing (ATM zone) | -0.9 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -1.0 ATM±5 zone raw flow: CE +0.96L vs PE -0.02L (institutional tilt Call-heavy)
AXISBANK,Bullish,🟢,Bullish OI Bias,12.1,82,0.89,0.88,1240.0,1300.0,106245,191250,1.06,1.91,98115,186875,"+1.0 Call/Put roughly balanced (ATM zone) | +0.3 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +6.5 Full-chain Dual Build-Up is Put-heavy (+1.91L PE vs +1.06L CE, 1.8x) | +0.9 ATM±5 zone raw flow: CE +0.98L vs PE +1.87L (institutional tilt Put-heavy)"
DIVISLAB,Bullish,🟢,Bullish OI Bias (Dual Build-Up),61.6,91,1.06,0.96,9000.0,9600.0,190900,314500,1.91,3.15,100500,294500,"+43.9 Strong Put Writing (ATM zone) | +3.3 Full-chain confirmation (Put-heavy) | +4.0 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +5.5 Full-chain Dual Build-Up is Put-heavy (+3.15L PE vs +1.91L CE, 1.6x) | +1.9 ATM±5 zone raw flow: CE +1.00L vs PE +2.94L (institutional tilt Put-heavy)"
OIL,Neutral,⚪,Neutral / Mixed Positioning,0.2,65,0.56,0.62,490.0,500.0,530600,140000,5.31,1.4,107800,179200,"+17.4 Moderate Put Writing (ATM zone) | -3.8 Full-chain confirmation (Call-heavy) | -2.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -14.7 Full-chain Dual Build-Up is Call-heavy (+5.31L CE vs +1.40L PE, 3.8x) | +0.7 ATM±5 zone raw flow: CE +1.08L vs PE +1.79L (institutional tilt Put-heavy)"
INDIANB,Neutral,⚪,Neutral / Mixed Positioning,0.4,65,0.65,0.64,880.0,900.0,60000,63000,0.6,0.63,113000,54000,-2.8 Call/Put roughly balanced (ATM zone) | +0.4 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -0.6 ATM±5 zone raw flow: CE +1.13L vs PE +0.54L (institutional tilt Call-heavy)
360ONE,Bearish Lean,🟧,Bearish Lean (Dual Build-Up),-11.9,75,0.58,0.6,1200.0,1200.0,197000,88000,1.97,0.88,114000,76500,"-3.7 Call/Put roughly balanced (ATM zone) | -1.1 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -8.9 Full-chain Dual Build-Up is Call-heavy (+1.97L CE vs +0.88L PE, 2.2x) | -0.4 ATM±5 zone raw flow: CE +1.14L vs PE +0.77L (institutional tilt Call-heavy)"
PIDILITIND,Bullish,🟢,Bullish OI Bias (Dual Build-Up),17.3,83,0.73,0.63,1620.0,1700.0,113500,141500,1.14,1.42,114500,142000,+4.5 Moderate Put Writing (ATM zone) | +5.5 Full-chain confirmation (Put-heavy) | +4.0 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +0.3 ATM±5 zone raw flow: CE +1.15L vs PE +1.42L (institutional tilt Put-heavy)
BLUESTARCO,Bearish Lean,🟧,Bearish Lean (Dual Build-Up),-8.8,75,0.69,0.72,1500.0,1500.0,194025,99450,1.94,0.99,131950,97175,"-1.3 Call/Put roughly balanced (ATM zone) | -1.6 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -7.4 Full-chain Dual Build-Up is Call-heavy (+1.94L CE vs +0.99L PE, 2.0x) | -0.3 ATM±5 zone raw flow: CE +1.32L vs PE +0.97L (institutional tilt Call-heavy)"
HAL,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-26.1,86,0.72,0.76,4900.0,5000.0,190950,62400,1.91,0.62,133050,44400,"-12.9 Moderate Call Writing (ATM zone) | -1.4 Full-chain confirmation (Call-heavy) | -1.6 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -12.3 Full-chain Dual Build-Up is Call-heavy (+1.91L CE vs +0.62L PE, 3.1x) | -0.9 ATM±5 zone raw flow: CE +1.33L vs PE +0.44L (institutional tilt Call-heavy)"
PGEL,Bearish Lean,🟧,Bearish Lean (Fresh Call Writing),-11.4,75,0.61,0.66,600.0,600.0,256500,-10450,2.56,-0.1,134900,-5700,-8.6 Moderate Call Writing (ATM zone) | -2.4 Full-chain confirmation (Call-heavy) | -2.0 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -1.4 ATM±5 zone raw flow: CE +1.35L vs PE -0.06L (institutional tilt Call-heavy)
PIIND,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-51.9,91,0.69,0.81,2500.0,2600.0,213850,36225,2.14,0.36,155575,36575,"-25.5 Strong Call Writing (ATM zone) | -5.4 Full-chain confirmation (Call-heavy) | -4.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+2.14L CE vs +0.36L PE, 5.9x) | -1.2 ATM±5 zone raw flow: CE +1.56L vs PE +0.37L (institutional tilt Call-heavy)"
UNITDSPR,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-39.1,90,0.61,0.66,1680.0,1600.0,237200,73200,2.37,0.73,173200,65600,"-23.5 Strong Call Writing (ATM zone) | -2.6 Full-chain confirmation (Call-heavy) | -2.0 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -12.9 Full-chain Dual Build-Up is Call-heavy (+2.37L CE vs +0.73L PE, 3.2x) | -1.1 ATM±5 zone raw flow: CE +1.73L vs PE +0.66L (institutional tilt Call-heavy)"
ASIANPAINT,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-32.2,88,0.79,0.82,2420.0,2900.0,206000,91000,2.06,0.91,174500,54000,"-22.7 Strong Call Writing (ATM zone) | -1.1 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -9.0 Full-chain Dual Build-Up is Call-heavy (+2.06L CE vs +0.91L PE, 2.3x) | -1.2 ATM±5 zone raw flow: CE +1.75L vs PE +0.54L (institutional tilt Call-heavy)"
ICICIGI,Bullish,🟢,Bullish OI Bias (Dual Build-Up),15.5,77,0.6,0.54,1600.0,1700.0,383175,278850,3.83,2.79,202475,277550,"+8.9 Moderate Put Writing (ATM zone) | +3.9 Full-chain confirmation (Put-heavy) | +2.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -3.5 Full-chain Dual Build-Up is Call-heavy (+3.83L CE vs +2.79L PE, 1.4x) | +0.8 ATM±5 zone raw flow: CE +2.02L vs PE +2.78L (institutional tilt Put-heavy)"
TRENT,Bearish,🔴,Bearish OI Bias (Fresh Call Writing),-20.2,84,0.5,0.55,2900.0,3000.0,245250,-5850,2.45,-0.06,225000,-3825,-16.0 Moderate Call Writing (ATM zone) | -2.9 Full-chain confirmation (Call-heavy) | -2.0 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -2.3 ATM±5 zone raw flow: CE +2.25L vs PE -0.04L (institutional tilt Call-heavy)
LUPIN,Bearish,🔴,Short Build-Up,-52.5,91,0.69,0.82,2200.0,2300.0,549950,16150,5.5,0.16,249475,16150,"-24.3 Strong Call Writing (ATM zone) | -5.7 Full-chain confirmation (Call-heavy) | -5.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+5.50L CE vs +0.16L PE, 34.1x) | -2.3 ATM±5 zone raw flow: CE +2.49L vs PE +0.16L (institutional tilt Call-heavy)"
INDUSINDBK,Neutral,⚪,Neutral / Mixed Positioning,-1.0,65,0.8,0.8,1000.0,1000.0,292600,238000,2.93,2.38,258300,209300,-3.6 Call/Put roughly balanced (ATM zone) | +0.1 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -0.5 ATM±5 zone raw flow: CE +2.58L vs PE +2.09L (institutional tilt Call-heavy)
PAYTM,Bearish,🟠,Long Unwinding,-34.2,88,0.67,0.85,1600.0,1700.0,1729850,-400200,17.3,-4.0,269700,-342925,-16.1 Moderate Call Writing (ATM zone) | -7.9 Full-chain confirmation (Call-heavy) | -7.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -6.0 ATM±5 zone raw flow: CE +2.70L vs PE -3.43L (institutional tilt Call-heavy)
DRREDDY,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-17.8,84,0.69,0.7,1080.0,1200.0,406255,192500,4.06,1.93,291880,114375,"-9.7 Moderate Call Writing (ATM zone) | -0.7 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -8.2 Full-chain Dual Build-Up is Call-heavy (+4.06L CE vs +1.93L PE, 2.1x) | -1.8 ATM±5 zone raw flow: CE +2.92L vs PE +1.14L (institutional tilt Call-heavy)"
JSWENERGY,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-18.2,84,0.77,0.8,600.0,560.0,307450,119325,3.07,1.19,296700,119325,"-6.5 Moderate Call Writing (ATM zone) | -1.3 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -10.4 Full-chain Dual Build-Up is Call-heavy (+3.07L CE vs +1.19L PE, 2.6x) | -1.8 ATM±5 zone raw flow: CE +2.97L vs PE +1.19L (institutional tilt Call-heavy)"
RBLBANK,Bearish,🔴,Short Build-Up,-27.4,87,0.59,0.61,370.0,400.0,358770,47625,3.59,0.48,323845,6350,"-7.3 Moderate Call Writing (ATM zone) | -1.1 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+3.59L CE vs +0.48L PE, 7.5x) | -3.2 ATM±5 zone raw flow: CE +3.24L vs PE +0.06L (institutional tilt Call-heavy)"
JSWSTEEL,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-33.7,89,0.76,0.87,1300.0,1400.0,960525,143105,9.61,1.43,348975,126905,"-7.6 Moderate Call Writing (ATM zone) | -4.5 Full-chain confirmation (Call-heavy) | -4.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+9.61L CE vs +1.43L PE, 6.7x) | -2.2 ATM±5 zone raw flow: CE +3.49L vs PE +1.27L (institutional tilt Call-heavy)"
INDIGO,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-39.9,91,0.62,0.69,5200.0,5300.0,377550,108300,3.78,1.08,362100,102750,"-20.0 Strong Call Writing (ATM zone) | -3.8 Full-chain confirmation (Call-heavy) | -2.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -13.7 Full-chain Dual Build-Up is Call-heavy (+3.78L CE vs +1.08L PE, 3.5x) | -2.6 ATM±5 zone raw flow: CE +3.62L vs PE +1.03L (institutional tilt Call-heavy)"
POWERGRID,Bearish Lean,🟧,Bearish Lean (Fresh Call Writing),-10.5,75,0.68,0.71,270.0,290.0,817000,-119700,8.17,-1.2,385700,-119700,-6.1 Moderate Call Writing (ATM zone) | -1.1 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -5.1 ATM±5 zone raw flow: CE +3.86L vs PE -1.20L (institutional tilt Call-heavy)
BAJFINANCE,Bullish,🟢,Bullish OI Bias (Dual Build-Up),70.6,95,0.82,0.71,1000.0,1100.0,492000,1645500,4.92,16.45,396750,1617000,"+34.2 Strong Put Writing (ATM zone) | +4.7 Full-chain confirmation (Put-heavy) | +4.4 PCR improving | +8.0 Max Pain above spot | +13.3 Full-chain Dual Build-Up is Put-heavy (+16.45L PE vs +4.92L CE, 3.3x) | +6.0 ATM±5 zone raw flow: CE +3.97L vs PE +16.17L (institutional tilt Put-heavy)"
LT,Bearish,🔴,Short Build-Up,-42.4,91,0.7,0.77,4100.0,4100.0,414400,13825,4.14,0.14,436625,11025,"-17.4 Moderate Call Writing (ATM zone) | -2.9 Full-chain confirmation (Call-heavy) | -2.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+4.14L CE vs +0.14L PE, 30.0x) | -4.3 ATM±5 zone raw flow: CE +4.37L vs PE +0.11L (institutional tilt Call-heavy)"
NYKAA,Bearish Lean,🟧,Bearish Lean (Dual Build-Up),-8.1,68,0.45,0.45,330.0,340.0,574995,237500,5.75,2.38,484370,253125,"+1.2 Call/Put roughly balanced (ATM zone) | -0.3 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -9.7 Full-chain Dual Build-Up is Call-heavy (+5.75L CE vs +2.38L PE, 2.4x) | -2.3 ATM±5 zone raw flow: CE +4.84L vs PE +2.53L (institutional tilt Call-heavy)"
ADANIPORTS,Bearish,🔴,Short Build-Up,-40.1,91,0.68,0.75,1700.0,1740.0,684000,92625,6.84,0.93,529625,87400,"-14.9 Moderate Call Writing (ATM zone) | -3.0 Full-chain confirmation (Call-heavy) | -2.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+6.84L CE vs +0.93L PE, 7.4x) | -4.4 ATM±5 zone raw flow: CE +5.30L vs PE +0.87L (institutional tilt Call-heavy)"
DLF,Bearish Lean,🟧,Bearish Lean (Dual Build-Up),-7.6,74,0.65,0.65,650.0,700.0,560500,339150,5.61,3.39,538650,300200,"-2.5 Call/Put roughly balanced (ATM zone) | -0.2 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -5.5 Full-chain Dual Build-Up is Call-heavy (+5.61L CE vs +3.39L PE, 1.7x) | -2.4 ATM±5 zone raw flow: CE +5.39L vs PE +3.00L (institutional tilt Call-heavy)"
BHEL,Bearish,🟠,Long Unwinding,-21.5,84,0.71,0.78,400.0,450.0,931885,-884630,9.32,-8.85,540755,-861000,-12.9 Moderate Call Writing (ATM zone) | -2.8 Full-chain confirmation (Call-heavy) | -2.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -6.0 ATM±5 zone raw flow: CE +5.41L vs PE -8.61L (institutional tilt Call-heavy)
