symbol,bias,bias_emoji,category,score,confidence,pcr,prev_pcr,support,resistance,ce_net_contracts,pe_net_contracts,ce_net_lakhs,pe_net_lakhs,atm_ce_delta_contracts,atm_pe_delta_contracts,score_breakdown
SAIL,Bullish Lean,🟩,Bullish Lean,5.0,53,1.1,1.1,170.0,200.0,0,0,0.0,0.0,0,0,+5.0 Volume favors Puts
BOSCHLTD,Neutral,⚪,Neutral / Mixed Positioning,3.3,65,0.69,0.69,48000.0,51000.0,600,475,0.01,0.0,200,350,+0.3 Call/Put roughly balanced (ATM zone) | +8.0 Max Pain above spot | -5.0 Volume favors Calls
SONACOMS,Neutral,⚪,Neutral / Mixed Positioning,3.6,65,0.48,0.48,780.0,920.0,3670,12250,0.04,0.12,1225,12250,+0.5 Call/Put roughly balanced (ATM zone) | +0.1 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls
DMART,Neutral,⚪,Neutral / Mixed Positioning,1.9,59,0.68,0.69,3600.0,4000.0,14550,-450,0.15,-0.0,2700,-150,-0.4 Call/Put roughly balanced (ATM zone) | -0.3 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls
TVSMOTOR,Neutral,⚪,Neutral / Mixed Positioning,4.2,65,0.62,0.62,4200.0,4500.0,-8400,0,-0.08,0.0,2975,11725,+1.1 Call/Put roughly balanced (ATM zone) | +0.1 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls
HAVELLS,Bullish Lean,🟩,Bullish Lean,8.2,75,0.7,0.7,1200.0,1300.0,5500,6000,0.06,0.06,4000,5000,+0.2 Call/Put roughly balanced (ATM zone) | +8.0 Max Pain above spot
EICHERMOT,Neutral,⚪,Neutral / Mixed Positioning,1.6,65,0.71,0.71,7500.0,9000.0,6200,700,0.06,0.01,5900,300,-1.2 Call/Put roughly balanced (ATM zone) | -0.2 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls
PIDILITIND,Neutral,⚪,Neutral / Mixed Positioning,1.4,65,0.73,0.73,1620.0,1700.0,5500,2500,0.06,0.03,6000,1500,-1.5 Call/Put roughly balanced (ATM zone) | -0.1 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls
CUMMINSIND,Bearish,🔴,Bearish OI Bias,-14.2,80,1.08,1.08,4800.0,5200.0,6600,2000,0.07,0.02,6600,2000,-1.0 Call/Put roughly balanced (ATM zone) | -0.2 Full-chain confirmation (Call-heavy) | -8.0 Max Pain below spot | -5.0 Volume favors Calls
KEI,Bearish,🔴,Bearish OI Bias,-17.4,90,1.89,1.92,5400.0,5600.0,6650,2100,0.07,0.02,8400,1750,-2.8 Call/Put roughly balanced (ATM zone) | -0.4 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | -8.0 Max Pain below spot | -5.0 Volume favors Calls
OBEROIRLTY,Neutral,⚪,Neutral / Mixed Positioning,3.1,65,0.47,0.47,1900.0,1900.0,12250,6650,0.12,0.07,9450,8400,+0.1 Call/Put roughly balanced (ATM zone) | +8.0 Max Pain above spot | -5.0 Volume favors Calls
ABB,Neutral,⚪,Neutral / Mixed Positioning,-3.2,59,0.9,0.92,7500.0,8000.0,12375,-2875,0.12,-0.03,9750,-2875,-4.6 Moderate Call Writing (ATM zone) | -0.8 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls
MFSL,Neutral,⚪,Neutral / Mixed Positioning,1.1,65,0.56,0.56,1600.0,1600.0,9600,2000,0.1,0.02,10000,2000,-1.7 Call/Put roughly balanced (ATM zone) | -0.2 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls
MARUTI,Neutral,⚪,Neutral / Mixed Positioning,2.1,65,0.66,0.66,13500.0,14000.0,18450,8200,0.18,0.08,10150,6500,-0.8 Call/Put roughly balanced (ATM zone) | -0.1 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls
POLICYBZR,Bullish Lean,🟩,Bullish Lean (Fresh Put Writing),10.4,75,0.95,0.93,1800.0,1900.0,14000,46550,0.14,0.47,14000,46550,"+3.3 Call/Put roughly balanced (ATM zone) | +0.8 Full-chain confirmation (Put-heavy) | +0.8 PCR improving | -8.0 Max Pain below spot | +13.2 Full-chain Dual Build-Up is Put-heavy (+0.47L PE vs +0.14L CE, 3.3x) | +0.3 ATM±5 zone raw flow: CE +0.14L vs PE +0.47L (institutional tilt Put-heavy)"
OFSS,Neutral,⚪,Neutral / Mixed Positioning,-0.5,55,0.66,0.67,12000.0,12500.0,18600,4900,0.19,0.05,15200,3600,-2.5 Call/Put roughly balanced (ATM zone) | -0.5 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -0.1 ATM±5 zone raw flow: CE +0.15L vs PE +0.04L (institutional tilt Call-heavy)
CONCOR,Neutral,⚪,Neutral / Mixed Positioning,4.4,64,0.62,0.62,500.0,550.0,0,32500,0.0,0.33,18750,32500,+1.0 Call/Put roughly balanced (ATM zone) | +0.3 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +0.1 ATM±5 zone raw flow: CE +0.19L vs PE +0.33L (institutional tilt Put-heavy)
HDFCAMC,Neutral,⚪,Neutral / Mixed Positioning,1.4,63,0.75,0.75,2600.0,2600.0,21000,11700,0.21,0.12,20100,11700,-1.4 Call/Put roughly balanced (ATM zone) | -0.1 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -0.1 ATM±5 zone raw flow: CE +0.20L vs PE +0.12L (institutional tilt Call-heavy)
HEROMOTOCO,Neutral,⚪,Neutral / Mixed Positioning,0.9,63,0.59,0.59,5100.0,5700.0,23700,6600,0.24,0.07,20550,6600,-1.7 Call/Put roughly balanced (ATM zone) | -0.3 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -0.1 ATM±5 zone raw flow: CE +0.21L vs PE +0.07L (institutional tilt Call-heavy)
COLPAL,Bearish Lean,🟧,Bearish Lean,-8.4,75,0.94,0.95,1900.0,1900.0,16225,2475,0.16,0.02,22275,275,-2.6 Call/Put roughly balanced (ATM zone) | -0.2 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | -5.0 Volume favors Calls | -0.2 ATM±5 zone raw flow: CE +0.22L vs PE +0.00L (institutional tilt Call-heavy)
UNOMINDA,Neutral,⚪,Neutral / Mixed Positioning,-3.2,56,0.44,0.45,1280.0,1280.0,26950,-1650,0.27,-0.02,26400,-1650,-4.6 Moderate Call Writing (ATM zone) | -0.9 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -0.3 ATM±5 zone raw flow: CE +0.26L vs PE -0.02L (institutional tilt Call-heavy)
INDHOTEL,Bullish Lean,🟩,Bullish Lean,9.5,75,0.78,0.78,730.0,730.0,26000,43000,0.26,0.43,27000,43000,"+0.6 Call/Put roughly balanced (ATM zone) | +0.2 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +5.5 Full-chain Dual Build-Up is Put-heavy (+0.43L PE vs +0.26L CE, 1.7x) | +0.2 ATM±5 zone raw flow: CE +0.27L vs PE +0.43L (institutional tilt Put-heavy)"
TATACONSUM,Bearish Lean,🟧,Bearish Lean (Fresh Call Writing),-11.8,75,0.87,0.88,950.0,1140.0,46750,17050,0.47,0.17,28050,17050,"-3.0 Call/Put roughly balanced (ATM zone) | -0.2 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -11.1 Full-chain Dual Build-Up is Call-heavy (+0.47L CE vs +0.17L PE, 2.7x) | -0.1 ATM±5 zone raw flow: CE +0.28L vs PE +0.17L (institutional tilt Call-heavy)"
GODFRYPHLP,Bearish,🔴,Bearish OI Bias (Fresh Call Writing),-12.8,81,0.61,0.66,2100.0,2200.0,28875,0,0.29,0.0,28875,0,-11.0 Moderate Call Writing (ATM zone) | -2.5 Full-chain confirmation (Call-heavy) | -2.0 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -0.3 ATM±5 zone raw flow: CE +0.29L vs PE +0.00L (institutional tilt Call-heavy)
DIXON,Bearish,🔴,Bearish OI Bias,-19.5,84,0.61,0.63,13500.0,15000.0,42200,4300,0.42,0.04,34900,5600,"-2.7 Call/Put roughly balanced (ATM zone) | -0.7 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+0.42L CE vs +0.04L PE, 9.8x) | -0.3 ATM±5 zone raw flow: CE +0.35L vs PE +0.06L (institutional tilt Call-heavy)"
MARICO,Neutral,⚪,Neutral / Mixed Positioning,2.1,65,0.63,0.62,790.0,900.0,40800,34800,0.41,0.35,38400,34800,-1.4 Call/Put roughly balanced (ATM zone) | +0.1 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls
GODREJCP,Bearish,🔴,Bearish OI Bias,-18.0,84,0.78,0.79,900.0,930.0,52500,1000,0.53,0.01,39000,-500,"-1.9 Call/Put roughly balanced (ATM zone) | -0.3 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+0.53L CE vs +0.01L PE, 52.5x) | -0.4 ATM±5 zone raw flow: CE +0.39L vs PE -0.01L (institutional tilt Call-heavy)"
BAJAJFINSV,Neutral,⚪,Neutral / Mixed Positioning,-2.8,56,0.75,0.76,1900.0,2100.0,53400,-2700,0.53,-0.03,40200,-3600,-4.5 Moderate Call Writing (ATM zone) | -0.5 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -0.4 ATM±5 zone raw flow: CE +0.40L vs PE -0.04L (institutional tilt Call-heavy)
BHARTIARTL,Neutral,⚪,Neutral / Mixed Positioning,0.7,55,0.66,0.67,1900.0,2000.0,67470,-9015,0.67,-0.09,46095,-18040,-1.1 Call/Put roughly balanced (ATM zone) | -0.2 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -0.6 ATM±5 zone raw flow: CE +0.46L vs PE -0.18L (institutional tilt Call-heavy)
INDIANB,Neutral,⚪,Neutral / Mixed Positioning,2.2,65,0.65,0.65,900.0,900.0,49000,55000,0.49,0.55,47000,25000,-0.9 Call/Put roughly balanced (ATM zone) | +0.3 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -0.2 ATM±5 zone raw flow: CE +0.47L vs PE +0.25L (institutional tilt Call-heavy)
JSWENERGY,Bearish Lean,🟧,Bearish Lean,-6.1,75,0.74,0.77,600.0,560.0,59130,-52675,0.59,-0.53,61280,-52675,-5.8 Moderate Call Writing (ATM zone) | -1.0 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -1.1 ATM±5 zone raw flow: CE +0.61L vs PE -0.53L (institutional tilt Call-heavy)
CDSL,Bearish,🔴,Bearish OI Bias,-15.5,83,0.69,0.7,1400.0,1440.0,62700,14725,0.63,0.15,66500,14725,"-1.5 Call/Put roughly balanced (ATM zone) | -0.2 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -15.9 Full-chain Dual Build-Up is Call-heavy (+0.63L CE vs +0.15L PE, 4.3x) | -0.5 ATM±5 zone raw flow: CE +0.67L vs PE +0.15L (institutional tilt Call-heavy)"
HINDUNILVR,Bearish,🔴,Bearish OI Bias,-20.4,85,0.73,0.74,2000.0,2100.0,123000,6600,1.23,0.07,84600,5100,"-3.7 Call/Put roughly balanced (ATM zone) | -0.5 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+1.23L CE vs +0.07L PE, 18.6x) | -0.8 ATM±5 zone raw flow: CE +0.85L vs PE +0.05L (institutional tilt Call-heavy)"
HDFCLIFE,Bearish,🔴,Bearish OI Bias,-18.7,84,0.77,0.78,510.0,570.0,104500,18700,1.04,0.19,111100,27500,"-2.3 Call/Put roughly balanced (ATM zone) | -0.2 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+1.04L CE vs +0.19L PE, 5.6x) | -0.8 ATM±5 zone raw flow: CE +1.11L vs PE +0.28L (institutional tilt Call-heavy)"
RECLTD,Bearish Lean,🟧,Bearish Lean,-10.5,75,0.82,0.82,330.0,330.0,99225,36205,0.99,0.36,122850,36210,"-1.4 Call/Put roughly balanced (ATM zone) | -0.1 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -11.1 Full-chain Dual Build-Up is Call-heavy (+0.99L CE vs +0.36L PE, 2.7x) | -0.9 ATM±5 zone raw flow: CE +1.23L vs PE +0.36L (institutional tilt Call-heavy)"
ICICIBANK,Neutral,⚪,Neutral / Mixed Positioning,-3.2,60,0.8,0.8,1400.0,1470.0,154700,97300,1.55,0.97,130900,95900,"-0.7 Call/Put roughly balanced (ATM zone) | -0.1 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -5.1 Full-chain Dual Build-Up is Call-heavy (+1.55L CE vs +0.97L PE, 1.6x) | -0.3 ATM±5 zone raw flow: CE +1.31L vs PE +0.96L (institutional tilt Call-heavy)"
PIIND,Bearish,🔴,Short Build-Up,-47.4,91,0.61,0.69,2500.0,2500.0,148400,3675,1.48,0.04,146125,3675,"-24.1 Strong Call Writing (ATM zone) | -3.7 Full-chain confirmation (Call-heavy) | -3.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+1.48L CE vs +0.04L PE, 40.4x) | -1.4 ATM±5 zone raw flow: CE +1.46L vs PE +0.04L (institutional tilt Call-heavy)"
PFC,Bearish Lean,🟧,Bearish Lean,-10.2,75,0.65,0.65,360.0,370.0,102700,39000,1.03,0.39,165100,40300,"-1.3 Call/Put roughly balanced (ATM zone) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -10.7 Full-chain Dual Build-Up is Call-heavy (+1.03L CE vs +0.39L PE, 2.6x) | -1.2 ATM±5 zone raw flow: CE +1.65L vs PE +0.40L (institutional tilt Call-heavy)"
MOTHERSON,Bearish,🔴,Bearish OI Bias,-23.8,86,1.06,1.06,162.5,170.0,129150,61500,1.29,0.61,184500,61500,"-1.3 Call/Put roughly balanced (ATM zone) | -0.1 Full-chain confirmation (Call-heavy) | -8.0 Max Pain below spot | -5.0 Volume favors Calls | -8.2 Full-chain Dual Build-Up is Call-heavy (+1.29L CE vs +0.61L PE, 2.1x) | -1.2 ATM±5 zone raw flow: CE +1.84L vs PE +0.61L (institutional tilt Call-heavy)"
AUBANK,Bearish,🔴,Short Build-Up,-27.3,87,0.7,0.72,1100.0,1100.0,208000,29000,2.08,0.29,230000,27000,"-8.6 Moderate Call Writing (ATM zone) | -0.9 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+2.08L CE vs +0.29L PE, 7.2x) | -2.0 ATM±5 zone raw flow: CE +2.30L vs PE +0.27L (institutional tilt Call-heavy)"
AXISBANK,Neutral,⚪,Neutral / Mixed Positioning,-2.2,54,0.88,0.89,1240.0,1300.0,293130,216865,2.93,2.17,275005,216865,"-0.8 Call/Put roughly balanced (ATM zone) | -0.1 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -3.3 Full-chain Dual Build-Up is Call-heavy (+2.93L CE vs +2.17L PE, 1.4x) | -0.6 ATM±5 zone raw flow: CE +2.75L vs PE +2.17L (institutional tilt Call-heavy)"
UNIONBANK,Bearish Lean,🟧,Bearish Lean,-11.1,75,0.62,0.62,185.0,195.0,451355,159285,4.51,1.59,318600,176985,"-1.0 Call/Put roughly balanced (ATM zone) | -0.2 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -11.5 Full-chain Dual Build-Up is Call-heavy (+4.51L CE vs +1.59L PE, 2.8x) | -1.4 ATM±5 zone raw flow: CE +3.19L vs PE +1.77L (institutional tilt Call-heavy)"
VBL,Bearish,🔴,Bearish OI Bias,-20.7,85,0.55,0.56,430.0,430.0,367195,11460,3.67,0.11,325120,11460,"-1.9 Call/Put roughly balanced (ATM zone) | -0.3 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+3.67L CE vs +0.11L PE, 32.0x) | -3.1 ATM±5 zone raw flow: CE +3.25L vs PE +0.11L (institutional tilt Call-heavy)"
FEDERALBNK,Neutral,⚪,Neutral / Mixed Positioning,3.7,65,0.7,0.7,350.0,360.0,362500,325000,3.62,3.25,327500,325000,+0.5 Call/Put roughly balanced (ATM zone) | +0.2 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls
SBIN,Bearish Lean,🟧,Bearish Lean,-8.3,75,0.77,0.79,1000.0,1100.0,477750,-194250,4.78,-1.94,390000,-165750,-4.3 Moderate Call Writing (ATM zone) | -0.6 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -5.6 ATM±5 zone raw flow: CE +3.90L vs PE -1.66L (institutional tilt Call-heavy)
IOC,Bearish Lean,🟧,Bearish Lean,-6.1,75,0.76,0.78,140.0,140.0,682515,-78005,6.83,-0.78,409515,-78005,-2.7 Call/Put roughly balanced (ATM zone) | -0.7 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -4.9 ATM±5 zone raw flow: CE +4.10L vs PE -0.78L (institutional tilt Call-heavy)
ITC,Bearish,🔴,Bearish OI Bias,-15.7,83,0.65,0.66,270.0,270.0,643535,182855,6.44,1.83,457185,136285,"-1.2 Call/Put roughly balanced (ATM zone) | -0.1 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -13.8 Full-chain Dual Build-Up is Call-heavy (+6.44L CE vs +1.83L PE, 3.5x) | -3.2 ATM±5 zone raw flow: CE +4.57L vs PE +1.36L (institutional tilt Call-heavy)"
RVNL,Bearish,🔴,Short Build-Up,-34.8,89,0.69,0.73,220.0,230.0,1049120,19245,10.49,0.19,1027945,17320,"-10.6 Moderate Call Writing (ATM zone) | -1.6 Full-chain confirmation (Call-heavy) | -1.6 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+10.49L CE vs +0.19L PE, 54.5x) | -6.0 ATM±5 zone raw flow: CE +10.28L vs PE +0.17L (institutional tilt Call-heavy)"
IDFCFIRSTB,Bullish Lean,🟩,Bullish Lean (Fresh Put Writing),5.7,67,0.6,0.6,80.0,90.0,3181290,2161055,31.81,21.61,1103715,2003385,"+0.9 Call/Put roughly balanced (ATM zone) | +0.1 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -4.3 Full-chain Dual Build-Up is Call-heavy (+31.81L CE vs +21.61L PE, 1.5x) | +6.0 ATM±5 zone raw flow: CE +11.04L vs PE +20.03L (institutional tilt Put-heavy)"
BANKINDIA,Bearish,🔴,Short Build-Up,-31.1,88,0.74,0.77,140.0,155.0,1601600,436800,16.02,4.37,1669200,431600,"-11.5 Moderate Call Writing (ATM zone) | -1.1 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -14.3 Full-chain Dual Build-Up is Call-heavy (+16.02L CE vs +4.37L PE, 3.7x) | -6.0 ATM±5 zone raw flow: CE +16.69L vs PE +4.32L (institutional tilt Call-heavy)"
ASHOKLEY,Bearish,🔴,Bearish OI Bias (Fresh Call Writing),-12.9,81,0.76,0.79,170.0,180.0,1955000,-55000,19.55,-0.55,1685000,-50000,-7.6 Moderate Call Writing (ATM zone) | -1.1 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -6.0 ATM±5 zone raw flow: CE +16.85L vs PE -0.50L (institutional tilt Call-heavy)
YESBANK,Bearish,🔴,Bearish OI Bias,-18.1,78,0.71,0.71,23.0,23.0,3607600,1057400,36.08,10.57,3296600,1057400,"-1.3 Call/Put roughly balanced (ATM zone) | -0.3 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -13.5 Full-chain Dual Build-Up is Call-heavy (+36.08L CE vs +10.57L PE, 3.4x) | -6.0 ATM±5 zone raw flow: CE +32.97L vs PE +10.57L (institutional tilt Call-heavy)"
CANBK,Bearish,🔴,Bearish OI Bias (Dual Build-Up),-23.5,86,0.86,0.89,130.0,130.0,5028800,2369250,50.29,23.69,4765550,2328750,"-9.6 Moderate Call Writing (ATM zone) | -1.4 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -8.3 Full-chain Dual Build-Up is Call-heavy (+50.29L CE vs +23.69L PE, 2.1x) | -6.0 ATM±5 zone raw flow: CE +47.66L vs PE +23.29L (institutional tilt Call-heavy)"
