symbol,bias,bias_emoji,category,score,confidence,pcr,prev_pcr,support,resistance,ce_net_contracts,pe_net_contracts,ce_net_lakhs,pe_net_lakhs,atm_ce_delta_contracts,atm_pe_delta_contracts,score_breakdown
WAAREEENER,Neutral,⚪,Neutral / Mixed Positioning,3.9,65,0.61,0.61,2600.0,2700.0,-9100,-7875,-0.09,-0.08,-19425,-7875,+0.9 Call/Put roughly balanced (ATM zone) | -0.1 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +0.1 ATM±5 zone raw flow: CE -0.19L vs PE -0.08L (institutional tilt Put-heavy)
AXISBANK,Bullish Lean,🟩,Bullish Lean,8.3,75,0.88,0.88,1240.0,1300.0,74395,98120,0.74,0.98,-4360,98745,"+1.2 Call/Put roughly balanced (ATM zone) | +0.1 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +3.0 Full-chain Dual Build-Up is Put-heavy (+0.98L PE vs +0.74L CE, 1.3x) | +1.0 ATM±5 zone raw flow: CE -0.04L vs PE +0.99L (institutional tilt Put-heavy)"
LICHSGFIN,Neutral,⚪,Neutral / Mixed Positioning,3.1,65,1.11,1.11,520.0,550.0,-6000,0,-0.06,0.0,-4000,0,+0.1 Call/Put roughly balanced (ATM zone) | +8.0 Max Pain above spot | -5.0 Volume favors Calls
PAGEIND,Neutral,⚪,Neutral / Mixed Positioning,3.7,59,0.52,0.51,34000.0,40000.0,-360,-20,-0.0,-0.0,-80,-20,+0.2 Call/Put roughly balanced (ATM zone) | +0.1 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls
PHOENIXLTD,Neutral,⚪,Neutral / Mixed Positioning,-3.2,63,1.26,1.28,1900.0,2000.0,11200,6650,0.11,0.07,1400,10850,+3.2 Call/Put roughly balanced (ATM zone) | -0.6 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | -5.0 Volume favors Calls
GRASIM,Neutral,⚪,Neutral / Mixed Positioning,4.8,65,0.48,0.48,3040.0,3540.0,5000,1250,0.05,0.01,2750,7500,+1.8 Call/Put roughly balanced (ATM zone) | +8.0 Max Pain above spot | -5.0 Volume favors Calls
FORCEMOT,Neutral,⚪,Neutral / Mixed Positioning,-1.5,58,0.42,0.43,17000.0,19000.0,3900,275,0.04,0.0,2800,275,-3.2 Call/Put roughly balanced (ATM zone) | -0.9 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls
ULTRACEMCO,Bullish Lean,🟩,Bullish Lean (Dual Build-Up),5.4,69,0.52,0.52,11500.0,11760.0,900,2250,0.01,0.02,5450,6100,+2.2 Call/Put roughly balanced (ATM zone) | +0.2 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls
GODFRYPHLP,Bullish Lean,🟩,Bullish Lean,7.0,53,0.7,0.7,2100.0,2200.0,5775,3575,0.06,0.04,5500,3575,-0.9 Call/Put roughly balanced (ATM zone) | -0.1 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot
SRF,Bearish Lean,🟧,Bearish Lean,-7.5,75,0.94,0.95,2600.0,2600.0,16400,2200,0.16,0.02,12200,2200,-1.7 Call/Put roughly balanced (ATM zone) | -0.4 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | -5.0 Volume favors Calls
BRITANNIA,Bearish,🔴,Bearish OI Bias (Fresh Call Writing),-20.2,84,0.88,0.91,4900.0,5800.0,38125,8625,0.38,0.09,12625,7125,"-4.5 Moderate Call Writing (ATM zone) | -1.2 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -16.3 Full-chain Dual Build-Up is Call-heavy (+0.38L CE vs +0.09L PE, 4.4x)"
PIIND,Neutral,⚪,Neutral / Mixed Positioning,1.5,63,0.6,0.6,2500.0,2500.0,17850,5250,0.18,0.05,17500,5250,-1.2 Call/Put roughly balanced (ATM zone) | -0.2 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -0.1 ATM±5 zone raw flow: CE +0.17L vs PE +0.05L (institutional tilt Call-heavy)
EICHERMOT,Neutral,⚪,Neutral / Mixed Positioning,-4.0,56,0.71,0.73,7500.0,9000.0,36200,-1100,0.36,-0.01,23400,-1100,-4.9 Moderate Call Writing (ATM zone) | -1.1 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -0.2 ATM±5 zone raw flow: CE +0.23L vs PE -0.01L (institutional tilt Call-heavy)
JUBLFOOD,Bearish Lean,🟧,Bearish Lean,-7.8,74,0.57,0.57,500.0,520.0,42500,18750,0.42,0.19,28750,15000,"-1.7 Call/Put roughly balanced (ATM zone) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -9.0 Full-chain Dual Build-Up is Call-heavy (+0.42L CE vs +0.19L PE, 2.3x) | -0.1 ATM±5 zone raw flow: CE +0.29L vs PE +0.15L (institutional tilt Call-heavy)"
LT,Neutral,⚪,Neutral / Mixed Positioning,-0.3,55,0.71,0.72,4000.0,4100.0,25550,-20475,0.26,-0.2,29925,-20475,-2.0 Call/Put roughly balanced (ATM zone) | -0.4 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -0.5 ATM±5 zone raw flow: CE +0.30L vs PE -0.20L (institutional tilt Call-heavy)
OBEROIRLTY,Bearish Lean,🟧,Bearish Lean (Fresh Call Writing),-8.0,68,0.49,0.48,1900.0,2000.0,52850,37450,0.53,0.37,32200,-12250,"-7.6 Moderate Call Writing (ATM zone) | +0.4 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -3.8 Full-chain Dual Build-Up is Call-heavy (+0.53L CE vs +0.37L PE, 1.4x) | -0.4 ATM±5 zone raw flow: CE +0.32L vs PE -0.12L (institutional tilt Call-heavy)"
UNOMINDA,Neutral,⚪,Neutral / Mixed Positioning,-3.3,56,0.55,0.57,1280.0,1300.0,28050,3850,0.28,0.04,34650,3850,-4.5 Moderate Call Writing (ATM zone) | -0.7 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -0.3 ATM±5 zone raw flow: CE +0.35L vs PE +0.04L (institutional tilt Call-heavy)
DRREDDY,Neutral,⚪,Neutral / Mixed Positioning,-4.1,65,0.66,0.67,1080.0,1200.0,84375,43745,0.84,0.44,36875,43750,"+0.5 Call/Put roughly balanced (ATM zone) | -0.1 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -7.2 Full-chain Dual Build-Up is Call-heavy (+0.84L CE vs +0.44L PE, 1.9x) | +0.1 ATM±5 zone raw flow: CE +0.37L vs PE +0.44L (institutional tilt Put-heavy)"
VOLTAS,Bearish,🔴,Bearish OI Bias,-14.6,83,0.72,0.73,1200.0,1300.0,43505,11250,0.44,0.11,40500,11250,"-1.8 Call/Put roughly balanced (ATM zone) | -0.2 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -14.9 Full-chain Dual Build-Up is Call-heavy (+0.44L CE vs +0.11L PE, 3.9x) | -0.3 ATM±5 zone raw flow: CE +0.41L vs PE +0.11L (institutional tilt Call-heavy)"
ICICIBANK,Bearish,🟠,Long Unwinding,-13.6,76,0.86,0.88,1450.0,1470.0,-14000,-427000,-0.14,-4.27,40600,-431900,"-6.3 Moderate Call Writing (ATM zone) | -0.8 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | +5.0 Volume favors Puts | -14.0 Full-chain Dual Unwinding is Put-heavy (4.27L PE vs 0.14L CE unwound, 30.5x) — bearish | -4.7 ATM±5 zone raw flow: CE +0.41L vs PE -4.32L (institutional tilt Call-heavy)"
JSWSTEEL,Bearish Lean,🟧,Bearish Lean,-5.9,75,0.76,0.77,1300.0,1400.0,58045,29030,0.58,0.29,45220,29030,"-0.6 Call/Put roughly balanced (ATM zone) | -0.1 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -7.6 Full-chain Dual Build-Up is Call-heavy (+0.58L CE vs +0.29L PE, 2.0x) | -0.2 ATM±5 zone raw flow: CE +0.45L vs PE +0.29L (institutional tilt Call-heavy)"
CUMMINSIND,Bearish,🔴,Short Build-Up,-44.4,95,0.96,1.02,4800.0,5200.0,53600,2600,0.54,0.03,53200,2600,"-8.8 Moderate Call Writing (ATM zone) | -1.7 Full-chain confirmation (Call-heavy) | -2.4 PCR weakening | -8.0 Max Pain below spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+0.54L CE vs +0.03L PE, 20.6x) | -0.5 ATM±5 zone raw flow: CE +0.53L vs PE +0.03L (institutional tilt Call-heavy)"
TRENT,Neutral,⚪,Neutral / Mixed Positioning,-3.4,65,0.5,0.5,2900.0,3000.0,66150,36900,0.66,0.37,56475,36900,"+0.1 Call/Put roughly balanced (ATM zone) | +0.1 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -6.4 Full-chain Dual Build-Up is Call-heavy (+0.66L CE vs +0.37L PE, 1.8x) | -0.2 ATM±5 zone raw flow: CE +0.56L vs PE +0.37L (institutional tilt Call-heavy)"
BANKINDIA,Bearish Lean,🟧,Bearish Lean,-11.8,75,0.78,0.78,140.0,155.0,36400,10400,0.36,0.1,67600,10400,"-0.4 Call/Put roughly balanced (ATM zone) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -13.8 Full-chain Dual Build-Up is Call-heavy (+0.36L CE vs +0.10L PE, 3.5x) | -0.6 ATM±5 zone raw flow: CE +0.68L vs PE +0.10L (institutional tilt Call-heavy)"
CIPLA,Bearish,🔴,Bearish OI Bias (Fresh Call Writing),-13.0,82,0.69,0.7,1300.0,1480.0,83300,36550,0.83,0.37,88400,38250,"-5.8 Moderate Call Writing (ATM zone) | -0.2 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -9.1 Full-chain Dual Build-Up is Call-heavy (+0.83L CE vs +0.37L PE, 2.3x) | -0.5 ATM±5 zone raw flow: CE +0.88L vs PE +0.38L (institutional tilt Call-heavy)"
HINDZINC,Bearish,🔴,Bearish OI Bias,-16.2,77,0.73,0.73,600.0,650.0,-2450,-162930,-0.02,-1.63,112700,-149455,"-2.3 Call/Put roughly balanced (ATM zone) | -0.3 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -14.0 Full-chain Dual Unwinding is Put-heavy (1.63L PE vs 0.02L CE unwound, 66.5x) — bearish | -2.6 ATM±5 zone raw flow: CE +1.13L vs PE -1.49L (institutional tilt Call-heavy)"
RELIANCE,Bearish Lean,🟧,Bearish Lean,-9.1,68,0.77,0.78,1300.0,1300.0,782500,227000,7.83,2.27,122000,273000,"+0.7 Call/Put roughly balanced (ATM zone) | -0.3 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -13.6 Full-chain Dual Build-Up is Call-heavy (+7.83L CE vs +2.27L PE, 3.4x) | +1.5 ATM±5 zone raw flow: CE +1.22L vs PE +2.73L (institutional tilt Put-heavy)"
NAUKRI,Bearish,🔴,Short Build-Up,-32.0,88,0.42,0.44,1300.0,1460.0,141350,10450,1.41,0.1,126500,7700,"-13.3 Moderate Call Writing (ATM zone) | -1.7 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+1.41L CE vs +0.10L PE, 13.5x) | -1.2 ATM±5 zone raw flow: CE +1.26L vs PE +0.08L (institutional tilt Call-heavy)"
CDSL,Bearish Lean,🟧,Bearish Lean (Fresh Call Writing),-5.3,75,0.7,0.72,1400.0,1400.0,153420,-5700,1.53,-0.06,159595,-4275,-5.1 Moderate Call Writing (ATM zone) | -0.8 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -1.6 ATM±5 zone raw flow: CE +1.60L vs PE -0.04L (institutional tilt Call-heavy)
HINDUNILVR,Bearish,🔴,Short Build-Up,-25.1,86,0.69,0.72,2000.0,2100.0,378900,40500,3.79,0.41,180900,41100,"-6.2 Moderate Call Writing (ATM zone) | -1.3 Full-chain confirmation (Call-heavy) | -1.2 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+3.79L CE vs +0.41L PE, 9.4x) | -1.4 ATM±5 zone raw flow: CE +1.81L vs PE +0.41L (institutional tilt Call-heavy)"
SWIGGY,Bearish,🔴,Bearish OI Bias,-18.2,78,0.63,0.63,280.0,300.0,184315,31020,1.84,0.31,187965,31020,"-1.4 Call/Put roughly balanced (ATM zone) | -0.2 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+1.84L CE vs +0.31L PE, 5.9x) | -1.6 ATM±5 zone raw flow: CE +1.88L vs PE +0.31L (institutional tilt Call-heavy)"
INDIGO,Bullish,🟢,Bullish OI Bias (Dual Build-Up),22.5,92,0.68,0.65,5200.0,5400.0,200550,218100,2.01,2.18,191850,197400,+6.4 Moderate Put Writing (ATM zone) | +1.8 Full-chain confirmation (Put-heavy) | +1.2 PCR improving | +8.0 Max Pain above spot | +5.0 Volume favors Puts | +0.1 ATM±5 zone raw flow: CE +1.92L vs PE +1.97L (institutional tilt Put-heavy)
NMDC,Neutral,⚪,Neutral / Mixed Positioning,-1.0,55,0.58,0.59,85.0,90.0,209250,-13500,2.09,-0.14,229500,-27000,-0.9 Call/Put roughly balanced (ATM zone) | -0.1 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -2.6 ATM±5 zone raw flow: CE +2.29L vs PE -0.27L (institutional tilt Call-heavy)
TITAN,Neutral,⚪,Neutral / Mixed Positioning,2.8,65,0.77,0.74,4800.0,5200.0,327250,311325,3.27,3.11,243775,122325,-11.3 Moderate Call Writing (ATM zone) | +1.1 Full-chain confirmation (Put-heavy) | +1.2 PCR improving | +8.0 Max Pain above spot | +5.0 Volume favors Puts | -1.2 ATM±5 zone raw flow: CE +2.44L vs PE +1.22L (institutional tilt Call-heavy)
POWERGRID,Bearish Lean,🟧,Bearish Lean (Fresh Call Writing),-10.8,75,0.65,0.66,270.0,290.0,374300,161500,3.74,1.61,285000,152000,"-2.8 Call/Put roughly balanced (ATM zone) | -0.1 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -9.2 Full-chain Dual Build-Up is Call-heavy (+3.74L CE vs +1.61L PE, 2.3x) | -1.3 ATM±5 zone raw flow: CE +2.85L vs PE +1.52L (institutional tilt Call-heavy)"
VEDL,Bearish,🔴,Bearish OI Bias,-15.5,77,0.63,0.63,275.0,300.0,358800,93150,3.59,0.93,317400,94300,"-1.3 Call/Put roughly balanced (ATM zone) | -0.2 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -14.8 Full-chain Dual Build-Up is Call-heavy (+3.59L CE vs +0.93L PE, 3.9x) | -2.2 ATM±5 zone raw flow: CE +3.17L vs PE +0.94L (institutional tilt Call-heavy)"
NTPC,Neutral,⚪,Neutral / Mixed Positioning,0.6,65,0.45,0.45,340.0,340.0,429000,319500,4.29,3.19,358500,300000,"+1.2 Call/Put roughly balanced (ATM zone) | +0.2 Full-chain confirmation (Put-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -3.2 Full-chain Dual Build-Up is Call-heavy (+4.29L CE vs +3.19L PE, 1.3x) | -0.6 ATM±5 zone raw flow: CE +3.58L vs PE +3.00L (institutional tilt Call-heavy)"
NBCC,Neutral,⚪,Neutral / Mixed Positioning,-4.9,56,0.52,0.53,90.0,90.0,377000,-45500,3.77,-0.46,370500,-45500,-2.8 Call/Put roughly balanced (ATM zone) | -0.5 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -4.2 ATM±5 zone raw flow: CE +3.71L vs PE -0.46L (institutional tilt Call-heavy)
INOXWIND,Bearish,🔴,Bearish OI Bias,-12.3,76,0.56,0.56,75.0,75.0,486400,160000,4.86,1.6,416000,160000,"-0.4 Call/Put roughly balanced (ATM zone) | -0.1 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -12.2 Full-chain Dual Build-Up is Call-heavy (+4.86L CE vs +1.60L PE, 3.0x) | -2.6 ATM±5 zone raw flow: CE +4.16L vs PE +1.60L (institutional tilt Call-heavy)"
MANAPPURAM,Neutral,⚪,Neutral / Mixed Positioning,-2.5,65,0.84,0.83,340.0,370.0,534000,600000,5.34,6.0,471000,606000,-1.7 Call/Put roughly balanced (ATM zone) | +0.5 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | -8.0 Max Pain below spot | +5.0 Volume favors Puts | +1.3 ATM±5 zone raw flow: CE +4.71L vs PE +6.06L (institutional tilt Put-heavy)
BHARTIARTL,Neutral,⚪,Neutral / Mixed Positioning,2.9,65,0.7,0.69,1900.0,2000.0,691140,581885,6.91,5.82,521555,569060,-1.3 Call/Put roughly balanced (ATM zone) | +0.3 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | +0.5 ATM±5 zone raw flow: CE +5.22L vs PE +5.69L (institutional tilt Put-heavy)
PNB,Bearish Lean,🟧,Bearish Lean,-5.4,74,0.72,0.72,110.0,120.0,1152000,632000,11.52,6.32,664000,560000,"-0.7 Call/Put roughly balanced (ATM zone) | -0.1 Full-chain confirmation (Call-heavy) | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -6.6 Full-chain Dual Build-Up is Call-heavy (+11.52L CE vs +6.32L PE, 1.8x) | -1.0 ATM±5 zone raw flow: CE +6.64L vs PE +5.60L (institutional tilt Call-heavy)"
TATAPOWER,Bearish,🔴,Bearish OI Bias (Fresh Call Writing),-23.8,86,0.62,0.63,360.0,400.0,638000,142100,6.38,1.42,667000,143550,"-4.4 Moderate Call Writing (ATM zone) | -0.3 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -16.5 Full-chain Dual Build-Up is Call-heavy (+6.38L CE vs +1.42L PE, 4.5x) | -5.2 ATM±5 zone raw flow: CE +6.67L vs PE +1.44L (institutional tilt Call-heavy)"
CANBK,Bearish,🔴,Bearish OI Bias,-24.0,86,0.86,0.87,130.0,130.0,789750,54000,7.9,0.54,701950,54000,"-2.2 Call/Put roughly balanced (ATM zone) | -0.4 Full-chain confirmation (Call-heavy) | -0.4 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+7.90L CE vs +0.54L PE, 14.6x) | -6.0 ATM±5 zone raw flow: CE +7.02L vs PE +0.54L (institutional tilt Call-heavy)"
BEL,Bearish,🔴,Short Build-Up,-26.9,87,0.78,0.8,410.0,415.0,847870,89775,8.48,0.9,869245,81225,"-4.4 Moderate Call Writing (ATM zone) | -0.7 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+8.48L CE vs +0.90L PE, 9.4x) | -6.0 ATM±5 zone raw flow: CE +8.69L vs PE +0.81L (institutional tilt Call-heavy)"
IRFC,Bearish,🔴,Short Build-Up,-31.1,88,0.73,0.75,80.0,90.0,1090405,81395,10.9,0.81,916815,81385,"-8.6 Moderate Call Writing (ATM zone) | -0.7 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+10.90L CE vs +0.81L PE, 13.4x) | -6.0 ATM±5 zone raw flow: CE +9.17L vs PE +0.81L (institutional tilt Call-heavy)"
RVNL,Bearish,🔴,Short Build-Up,-30.6,88,0.64,0.66,200.0,230.0,1089550,163620,10.9,1.64,1083770,165550,"-7.7 Moderate Call Writing (ATM zone) | -1.1 Full-chain confirmation (Call-heavy) | -0.8 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -18.0 Full-chain Dual Build-Up is Call-heavy (+10.90L CE vs +1.64L PE, 6.7x) | -6.0 ATM±5 zone raw flow: CE +10.84L vs PE +1.66L (institutional tilt Call-heavy)"
IDFCFIRSTB,Neutral,⚪,Neutral / Mixed Positioning,-4.0,65,0.62,0.61,84.0,90.0,-445145,1363425,-4.45,13.63,2068380,1419070,-2.1 Call/Put roughly balanced (ATM zone) | +0.7 Full-chain confirmation (Put-heavy) | +0.4 PCR improving | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -6.0 ATM±5 zone raw flow: CE +20.68L vs PE +14.19L (institutional tilt Call-heavy)
ADANIPOWER,Bearish,🔴,Bearish OI Bias (Fresh Call Writing),-22.4,84,0.57,0.61,200.0,210.0,4181850,-291100,41.82,-2.91,3766500,-291100,-15.4 Moderate Call Writing (ATM zone) | -2.4 Full-chain confirmation (Call-heavy) | -1.6 PCR weakening | +8.0 Max Pain above spot | -5.0 Volume favors Calls | -6.0 ATM±5 zone raw flow: CE +37.66L vs PE -2.91L (institutional tilt Call-heavy)
